MPPS,LATENCY,FREQ,SLEEP_MODE,CPU,SLEEP_DELTA
1,10,800,no_sleep,8,1
1,11,3200,no_sleep,3,1
1,12,3200,no_sleep,1,1
1,13,1600,no_sleep,1,1
1,14,1600,no_sleep,1,1
1,15,1600,no_sleep,1,1
1,16,1600,no_sleep,1,1
1,17,800,no_sleep,1,1
1,18,800,no_sleep,1,1
1,19,800,no_sleep,1,1
1,20,800,no_sleep,1,1
1,21,800,no_sleep,1,1
1,22,800,no_sleep,1,1
1,23,800,no_sleep,1,1
1,24,800,no_sleep,1,1
1,25,800,no_sleep,1,1
1,26,800,no_sleep,1,1
1,27,800,no_sleep,1,1
1,28,800,no_sleep,1,1
1,29,800,no_sleep,1,1
1,30,800,no_sleep,1,1
1,31,800,no_sleep,1,1
1,32,800,no_sleep,1,1
1,33,800,no_sleep,1,1
1,34,800,no_sleep,1,1
1,35,800,no_sleep,1,1
1,36,800,no_sleep,1,1
1,37,800,no_sleep,1,1
1,38,800,no_sleep,1,1
1,39,800,no_sleep,1,1
1,40,800,no_sleep,1,1
1,41,800,no_sleep,1,1
1,42,800,no_sleep,1,1
1,43,800,no_sleep,1,1
1,44,800,no_sleep,1,1
1,45,800,no_sleep,1,1
1,46,800,no_sleep,1,1
1,47,800,no_sleep,1,1
1,48,800,no_sleep,1,1
1,49,800,no_sleep,1,1
1,50,800,no_sleep,1,1
1,51,800,no_sleep,1,1
1,52,800,no_sleep,1,1
1,53,800,no_sleep,1,1
1,54,800,no_sleep,1,1
1,55,800,no_sleep,1,1
1,56,800,no_sleep,1,1
1,57,800,no_sleep,1,1
1,58,800,no_sleep,1,1
1,59,800,no_sleep,1,1
1,60,800,no_sleep,1,1
1,61,800,no_sleep,1,1
1,62,800,no_sleep,1,1
1,63,800,no_sleep,1,1
1,64,800,no_sleep,1,1
1,65,800,no_sleep,1,1
1,66,800,no_sleep,1,1
1,67,800,no_sleep,1,1
1,68,800,no_sleep,1,1
1,69,800,no_sleep,1,1
1,70,800,no_sleep,1,1
1,71,800,no_sleep,1,1
1,72,800,no_sleep,1,1
1,73,800,no_sleep,1,1
